player,country,age,role,base_price_lakh,sold_price_lakh,team,capped_status,season,price_multiplier,is_overseas
Robin Minz,India,20,WICKETKEEPER,20,0.0,UnSold,Uncapped,2023,0.0,False
Agniv Pan,India,26,WICKETKEEPER,20,0.0,UnSold,Uncapped,2023,0.0,False
Priyesh Patel,India,21,WICKETKEEPER,20,0.0,UnSold,Uncapped,2023,0.0,False
Mitesh Patel,India,25,WICKETKEEPER,20,0.0,UnSold,Uncapped,2023,0.0,False
Abishek Porel,India,20,WICKETKEEPER,20,0.0,UnSold,Uncapped,2023,0.0,False
Nitish Kumar Reddy,India,19,WICKETKEEPER,20,20.0,SRH,Uncapped,2023,1.0,False
Bharat Sharma,India,27,WICKETKEEPER,20,0.0,UnSold,Uncapped,2023,0.0,False
Vivek Singh,India,29,WICKETKEEPER,20,0.0,UnSold,Uncapped,2023,0.0,False
Abhijeet Tomar,India,28,WICKETKEEPER,20,0.0,UnSold,Uncapped,2023,0.0,False
Basit Bashir,India,20,BOWLER,20,0.0,UnSold,Uncapped,2023,0.0,False
Nandre Burger,South Africa,27,BOWLER,20,0.0,UnSold,Uncapped,2023,0.0,True
Rasikh Dar,India,23,BOWLER,20,0.0,UnSold,Uncapped,2023,0.0,False
Sakib Hussain,India,18,BOWLER,20,0.0,UnSold,Uncapped,2023,0.0,False
Waseem Khanday,India,23,BOWLER,20,0.0,UnSold,Uncapped,2023,0.0,False
Ravi Kiran Majeti,India,32,BOWLER,20,0.0,UnSold,Uncapped,2023,0.0,False
Lukman Hussain Meriwala,India,31,BOWLER,20,0.0,UnSold,Uncapped,2023,0.0,False
Anuj Raj,India,22,BOWLER,20,0.0,UnSold,Uncapped,2023,0.0,False
Ankit Singh Rajpoot,India,29,BOWLER,20,0.0,UnSold,Uncapped,2023,0.0,False
Avinash Singh,India,24,BOWLER,20,60.0,RCB,Uncapped,2023,3.0,False
Prince Yadav,India,21,BOWLER,20,0.0,UnSold,Uncapped,2023,0.0,False
Prithviraj Yarra,India,25,BOWLER,20,0.0,UnSold,Uncapped,2023,0.0,False
Mushtaq Beg,India,24,BOWLER,20,0.0,UnSold,Uncapped,2023,0.0,False
Rocky Bhasker,India,30,BOWLER,20,0.0,UnSold,Uncapped,2023,0.0,False
Sanjith Devaraj,India,25,BOWLER,20,0.0,UnSold,Uncapped,2023,0.0,False
Raghav Goyal,India,21,BOWLER,20,20.0,MI,Uncapped,2023,1.0,False
Allah Mohammad,Afghanistan,15,BOWLER,20,0.0,UnSold,Uncapped,2023,0.0,True
Lalit Mohan,India,33,BOWLER,20,0.0,UnSold,Uncapped,2023,0.0,False
Bhuwan Rohilla,India,21,BOWLER,20,0.0,UnSold,Uncapped,2023,0.0,False
Aman Sharma,India,26,BOWLER,20,0.0,UnSold,Uncapped,2023,0.0,False
Manav Suthar,India,20,BOWLER,20,0.0,UnSold,Uncapped,2023,0.0,False
Tom Curran,England,28,ALL-ROUNDER,75,0.0,UnSold,Capped,2023,0.0,True
Moises Henriques,Australia,36,ALL-ROUNDER,100,0.0,UnSold,Capped,2023,0.0,True
Afif Hossain,Bangladesh,23,ALL-ROUNDER,50,0.0,UnSold,Capped,2023,0.0,True
Scott Kuggeleijn,New Zealand,31,ALL-ROUNDER,50,0.0,UnSold,Capped,2023,0.0,True
Sisanda Magala,South Africa,32,ALL-ROUNDER,50,0.0,UnSold,Capped,2023,0.0,True
Craig Overton,England,28,ALL-ROUNDER,200,0.0,UnSold,Capped,2023,0.0,True
Darcy Short,Australia,32,ALL-ROUNDER,75,0.0,UnSold,Capped,2023,0.0,True
Dhananjaya Silva,Sri Lanka,31,ALL-ROUNDER,50,0.0,UnSold,Capped,2023,0.0,True
Dunith Wellalage,Sri Lanka,20,ALL-ROUNDER,50,0.0,UnSold,Capped,2023,0.0,True
Varun Aaron,India,33,BOWLER,50,0.0,UnSold,Capped,2023,0.0,False
Sheldon Cottrel,West Indies,33,BOWLER,50,0.0,UnSold,Capped,2023,0.0,True
Nathan Coulter-Nile,Australia,35,BOWLER,150,0.0,UnSold,Capped,2023,0.0,True
Daryn Dupavillon,South Africa,28,BOWLER,50,0.0,UnSold,Capped,2023,0.0,True
Matt Henry,New Zealand,31,BOWLER,100,0.0,UnSold,Capped,2023,0.0,True
Dhawal Kulkarni,India,34,BOWLER,50,0.0,UnSold,Capped,2023,0.0,False
Tymal Mills,England,30,BOWLER,200,0.0,UnSold,Capped,2023,0.0,True
David Payne,England,32,BOWLER,75,0.0,UnSold,Capped,2023,0.0,True
Barinder Sran,India,30,BOWLER,50,0.0,UnSold,Capped,2023,0.0,False
Glenton Stuurman,South Africa,30,BOWLER,50,0.0,UnSold,Capped,2023,0.0,True
Anirudh Balachander,India,28,BATSMAN,20,0.0,UnSold,Uncapped,2023,0.0,False
Gourav Choudhary,India,24,BATSMAN,20,0.0,UnSold,Uncapped,2023,0.0,False
Saurav Chuahan,India,22,BATSMAN,20,0.0,UnSold,Uncapped,2023,0.0,False
Kumar Deobrat,India,30,BATSMAN,20,0.0,UnSold,Uncapped,2023,0.0,False
Chirag Gandhi,India,32,BATSMAN,20,0.0,UnSold,Uncapped,2023,0.0,False
Arman Jaffer,India,24,BATSMAN,20,0.0,UnSold,Uncapped,2023,0.0,False
Madhav Kaushik,India,25,BATSMAN,20,0.0,UnSold,Uncapped,2023,0.0,False
Priyank Panchal,India,33,BATSMAN,20,0.0,UnSold,Uncapped,2023,0.0,False
Ayush Pandey,India,19,BATSMAN,20,0.0,UnSold,Uncapped,2023,0.0,False
Rohan Patil,India,21,BATSMAN,20,0.0,UnSold,Uncapped,2023,0.0,False
Sanjay Ramaswamy,India,28,BATSMAN,20,0.0,UnSold,Uncapped,2023,0.0,False
Siddharth Yadav,India,19,BATSMAN,20,0.0,UnSold,Uncapped,2023,0.0,False
Rehan Ahmed,England,18,ALL-ROUNDER,40,0.0,UnSold,Uncapped,2023,0.0,True
Prayas Barman,India,20,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Rahul Buddhi,India,25,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Vaisakh Chandran,India,26,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Writtick Chatterjee,India,30,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Prashant Chopra,India,30,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Harsh Dubey,India,20,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Tanush Kotian,India,24,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Ninad Rathva,India,24,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
B. Surya,India,26,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Jordan Thompson,England,26,ALL-ROUNDER,40,0.0,UnSold,Uncapped,2023,0.0,True
Shivank Vashisth,India,27,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Ankush Bains,India,27,WICKETKEEPER,20,0.0,UnSold,Uncapped,2023,0.0,False
Christopher Benjamin,England,23,WICKETKEEPER,20,0.0,UnSold,Uncapped,2023,0.0,True
Connor Esterhuizen,South Africa,21,WICKETKEEPER,20,0.0,UnSold,Uncapped,2023,0.0,True
Mohd Arslan Khan,India,23,WICKETKEEPER,20,0.0,UnSold,Uncapped,2023,0.0,False
Mamidi Krishna,India,21,WICKETKEEPER,20,0.0,UnSold,Uncapped,2023,0.0,False
Fazil Makaya,India,26,WICKETKEEPER,20,0.0,UnSold,Uncapped,2023,0.0,False
Akshdeep Nath,India,29,WICKETKEEPER,20,0.0,UnSold,Uncapped,2023,0.0,False
Deepak Punia,India,29,WICKETKEEPER,20,0.0,UnSold,Uncapped,2023,0.0,False
Kunal Rathore,India,20,WICKETKEEPER,20,20.0,RR,Uncapped,2023,1.0,False
Ateev Saini,India,27,WICKETKEEPER,20,0.0,UnSold,Uncapped,2023,0.0,False
Bipin Saurabh,India,23,WICKETKEEPER,20,0.0,UnSold,Uncapped,2023,0.0,False
B.R. Sharath,India,26,WICKETKEEPER,20,0.0,UnSold,Uncapped,2023,0.0,False
Yashovardhan Singh,India,20,WICKETKEEPER,20,0.0,UnSold,Uncapped,2023,0.0,False
Lakshay Thareja,India,25,WICKETKEEPER,20,0.0,UnSold,Uncapped,2023,0.0,False
Mohit Avasthi,India,30,BOWLER,20,0.0,UnSold,Uncapped,2023,0.0,False
Ottneil Baartman,South Africa,30,BOWLER,20,0.0,UnSold,Uncapped,2023,0.0,True
Gurnoor Singh Brar,India,22,BOWLER,20,0.0,UnSold,Uncapped,2023,0.0,False
Shahrukh Dar,India,29,BOWLER,20,0.0,UnSold,Uncapped,2023,0.0,False
Thomas Helm,England,28,BOWLER,40,0.0,UnSold,Uncapped,2023,0.0,True
Pankaj Jaswal,India,27,BOWLER,20,0.0,UnSold,Uncapped,2023,0.0,False
Venkatesh Muralidhara,India,22,BOWLER,20,0.0,UnSold,Uncapped,2023,0.0,False
Geet Puri,India,28,BOWLER,20,0.0,UnSold,Uncapped,2023,0.0,False
E. Sanketh,India,23,BOWLER,20,0.0,UnSold,Uncapped,2023,0.0,False
Ajay Sarkar,India,26,BOWLER,20,0.0,UnSold,Uncapped,2023,0.0,False
Ashok Sharma,India,20,BOWLER,20,0.0,UnSold,Uncapped,2023,0.0,False
Kanwar Singh,India,31,BOWLER,20,0.0,UnSold,Uncapped,2023,0.0,False
Fabian Allen,West Indies,27,ALL-ROUNDER,50,0.0,UnSold,Capped,2023,0.0,True
Carlos Brathwaite,West Indies,34,ALL-ROUNDER,75,0.0,UnSold,Capped,2023,0.0,True
Roston Chase,West Indies,31,ALL-ROUNDER,100,0.0,UnSold,Capped,2023,0.0,True
Rahkeem Cornwall,West Indies,30,ALL-ROUNDER,100,0.0,UnSold,Capped,2023,0.0,True
Karim Janat,Afghanistan,24,ALL-ROUNDER,50,0.0,UnSold,Capped,2023,0.0,True
Keshav Maharaj,South Africa,33,ALL-ROUNDER,50,0.0,UnSold,Capped,2023,0.0,True
Pawan Negi,India,30,ALL-ROUNDER,50,0.0,UnSold,Capped,2023,0.0,False
Keemo Paul,West Indies,25,ALL-ROUNDER,50,0.0,UnSold,Capped,2023,0.0,True
Shivam Chaudhary,India,25,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Ashwin Das,India,27,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
James Fuller,England,33,ALL-ROUNDER,40,0.0,UnSold,Uncapped,2023,0.0,True
Chirag Jani,India,33,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Akshay Karnewar,India,30,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Bhagmender Lather,India,25,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Lone Muzaffar,India,25,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Pulkit Narang,India,28,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Rohit Rayudu,India,28,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Sameer Rizvi,India,19,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Tunish Sawkar,India,24,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Sonu Yadav,India,23,ALL-ROUNDER,20,20.0,RCB,Uncapped,2023,1.0,False
Auqib Dar,India,26,BOWLER,20,0.0,UnSold,Uncapped,2023,0.0,False
Mukhtar Hussain,India,24,BOWLER,20,0.0,UnSold,Uncapped,2023,0.0,False
Kulwant Khejroliya,India,31,BOWLER,20,20.0,KKR,Uncapped,2023,1.0,False
Ashwani Kumar,India,21,BOWLER,20,0.0,UnSold,Uncapped,2023,0.0,False
Hemant Kumar,India,27,BOWLER,20,0.0,UnSold,Uncapped,2023,0.0,False
Nathan McAndrew,Australia,29,BOWLER,20,0.0,UnSold,Uncapped,2023,0.0,True
Rajesh Mohanty,India,22,BOWLER,20,0.0,UnSold,Uncapped,2023,0.0,False
Ravi Sharma,India,26,BOWLER,20,0.0,UnSold,Uncapped,2023,0.0,False
Vikash Singh,India,28,BOWLER,20,0.0,UnSold,Uncapped,2023,0.0,False
Ruben Trumpelmann,Namibia,25,BOWLER,20,0.0,UnSold,Associate,2023,0.0,True
Koushik Vasuki,India,30,BOWLER,20,0.0,UnSold,Uncapped,2023,0.0,False
Vasu Vats,India,20,BOWLER,20,0.0,UnSold,Uncapped,2023,0.0,False
Shubham Agrawal,India,29,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Baba Aparajith,India,28,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Anshul Kamboj,India,22,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Azim Kazi,India,29,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Dev Lakra,India,20,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Ajay Mandal,India,27,ALL-ROUNDER,20,20.0,CSK,Uncapped,2023,1.0,False
Abdul P A,India,24,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Jitender Pal,India,23,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Ritwik Roy Chowdhury,India,27,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Utkarsh Singh,India,24,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Shubham Singh,India,26,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Avneesh Sudha,India,21,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Asad Jamil Ahmed,India,23,BOWLER,20,0.0,UnSold,Uncapped,2023,0.0,False
Bandaru Ayyappa,India,30,BOWLER,20,0.0,UnSold,Uncapped,2023,0.0,False
Aashish Bhatt,India,19,BOWLER,20,0.0,UnSold,Uncapped,2023,0.0,False
McKenny Clarke,West Indies,19,BOWLER,20,0.0,UnSold,Uncapped,2023,0.0,True
Shubham Kapse,India,28,BOWLER,20,0.0,UnSold,Uncapped,2023,0.0,False
Gourav Koul,India,24,BOWLER,20,0.0,UnSold,Uncapped,2023,0.0,False
Raunak Kumar,India,20,BOWLER,20,0.0,UnSold,Uncapped,2023,0.0,False
Trilok Nag,India,22,BOWLER,20,0.0,UnSold,Uncapped,2023,0.0,False
Atal Bihari Rai,India,23,BOWLER,20,0.0,UnSold,Uncapped,2023,0.0,False
Ramon Simmonds,West Indies,21,BOWLER,20,0.0,UnSold,Uncapped,2023,0.0,True
Rajeev Singh,India,27,BOWLER,20,0.0,UnSold,Uncapped,2023,0.0,False
Mohd. Wasim,India,23,BOWLER,20,0.0,UnSold,Uncapped,2023,0.0,False
Atharva Ankolekar,India,22,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Khizar Dafedar,India,25,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Naman Dhir,India,23,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Sahil Dhiwan,India,25,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Sampark Gupta,India,21,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Jordan Hermann,South Africa,21,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,True
Hayden Kerr,Australia,26,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,True
Salman Khan,India,24,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Sairaj Patil,India,26,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Divyaansh Saxena,India,22,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Purnank Tyagi,India,22,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Prince Yadav,India,25,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Deepraj Gaonkar,India,25,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Shubham Garhwal,India,27,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Benny Howell,England,34,ALL-ROUNDER,40,0.0,UnSold,Uncapped,2023,0.0,True
Deepesh Nailwal,India,25,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Arjun Rapria,India,23,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Shashwat Rawat,India,22,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Sumit Ruikar,India,32,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Shivam Sharma,India,29,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Rajandeep Singh,India,20,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Anunay Singh,India,30,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Digvesh Singh,India,23,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Pranshu Vijayran,India,27,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Prerit Dutta,India,24,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Ramakrishna Ghosh,India,25,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Shubhang Hegde,India,22,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Shamshuzama Kazi,India,28,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Ayaz Khan,India,20,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Amit Pachhara,India,27,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Akul Pandove,India,25,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Mohit Rathee,India,24,ALL-ROUNDER,20,20.0,PBKS,Uncapped,2023,1.0,False
Garv Sangwan,India,19,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Shubham Sharma,India,26,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Nehal Wadhera,India,22,ALL-ROUNDER,20,20.0,MI,Uncapped,2023,1.0,False
Amit Yadav,India,33,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Amit Ali,India,20,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Rishabh Chauhan,India,23,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Matthew Forde,West Indies,20,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,True
Sammar Gajjar,India,19,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Rajneesh Gurbani,India,30,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Divyansh Joshi,India,21,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Dhruv Patel,India,25,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Jack Prestwidge,Australia,27,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,True
Aditya Sarvate,India,33,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Sagar Solanki,India,23,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,False
Prenelan Subrayen,South Africa,29,ALL-ROUNDER,20,0.0,UnSold,Uncapped,2023,0.0,True
Bhagath Varma,India,24,ALL-ROUNDER,20,20.0,CSK,Uncapped,2023,1.0,False
